,video,start,end,subtitle,include
0,IuVo4fnpLC8,"00:09:59,790","00:10:02,100",impacts of privatization small,True
1,IuVo4fnpLC8,"00:02:45,390","00:02:48,569",sacrificial holy that is a dark,True
2,IuVo4fnpLC8,"00:14:02,399","00:14:04,560",to unveil a postal service themed,True
3,IuVo4fnpLC8,"00:14:20,389","00:14:23,459",I'm gonna give it a three and a half out,False
4,IuVo4fnpLC8,"00:17:07,709","00:17:11,069",buy right now if you go to stamps com,True
5,IuVo4fnpLC8,"00:08:30,360","00:08:32,339",deliver than the Postal Service does,True
6,IuVo4fnpLC8,"00:03:11,250","00:03:13,260",these workers are also having to grapple,True
7,IuVo4fnpLC8,"00:12:32,210","00:12:37,050",Jesus Christ but second if the Postal,True
8,IuVo4fnpLC8,"00:03:53,549","00:03:55,739",postmaster in rural Colorado tell a,True
9,IuVo4fnpLC8,"00:09:13,500","00:09:15,150",decent substitute for the postal service,True
10,IuVo4fnpLC8,"00:12:23,700","00:12:26,160",know absolutely hilarious but it's not,True
11,IuVo4fnpLC8,"00:14:45,540","00:14:48,120",more flexibility not just on pricing but,True
12,IuVo4fnpLC8,"00:10:58,170","00:11:00,990",not just small businesses companies like,True
13,IuVo4fnpLC8,"00:02:08,420","00:02:11,180",doc or a sympathy goose who wouldn't,True
14,IuVo4fnpLC8,"00:13:04,380","00:13:06,330",Service's biggest problem is one of the,True
15,IuVo4fnpLC8,"00:09:42,870","00:09:45,270",might be able to buy medicine online you,True
16,IuVo4fnpLC8,"00:05:31,330","00:05:33,400",dos on featuring all the stamps that,True
17,IuVo4fnpLC8,"00:06:58,889","00:07:02,550",of. billion just three years later,True
18,IuVo4fnpLC8,"00:10:27,750","00:10:29,730",a real shame if that business couldn't,True
19,IuVo4fnpLC8,"00:07:12,210","00:07:13,800",the fact that we started using email or,True
20,IuVo4fnpLC8,"00:05:38,470","00:05:40,420",irises - my personal favorite the one,True
21,IuVo4fnpLC8,"00:08:36,930","00:08:38,789",difficult to get to they're not,True
22,IuVo4fnpLC8,"00:17:31,470","00:17:33,900",need while also saying I like last week,True
23,IuVo4fnpLC8,"00:06:12,970","00:06:14,980",prepay healthcare benefits for retirees,True
24,IuVo4fnpLC8,"00:17:35,820","00:17:38,400",Day which you did your piece of if,True
25,IuVo4fnpLC8,"00:05:08,620","00:05:11,170",collecting with commercials like this,True
26,IuVo4fnpLC8,"00:17:29,220","00:17:31,470",that supports the USPS in its time of,True
27,IuVo4fnpLC8,"00:04:01,260","00:04:03,359",live far apart run into each other at,False
28,IuVo4fnpLC8,"00:13:50,250","00:13:52,230",website and buy this costume for your,True
29,IuVo4fnpLC8,"00:11:49,460","00:11:53,490",because they're handing out packages for,False
30,IuVo4fnpLC8,"00:07:20,880","00:07:23,729",approximately percent of their net,True
31,IuVo4fnpLC8,"00:14:58,680","00:15:00,899",something called postal banking where,True
32,IuVo4fnpLC8,"00:11:17,730","00:11:19,890",assistance it's so badly needs right now,True
33,IuVo4fnpLC8,"00:04:51,490","00:04:53,350",about it and let's start with the fact,True
34,IuVo4fnpLC8,"00:07:32,310","00:07:34,650",makes it a little infuriating that some,True
35,IuVo4fnpLC8,"00:15:27,209","00:15:29,310",the postal services Lane not only did I,True
36,IuVo4fnpLC8,"00:05:35,920","00:05:38,470",stamps to the dank get well stamped with,True
37,IuVo4fnpLC8,"00:15:36,690","00:15:38,730",they were already doing,True
38,IuVo4fnpLC8,"00:01:55,040","00:01:57,260",transport all kinds of live poultry for,True
39,IuVo4fnpLC8,"00:09:30,000","00:09:32,730",the postal service is a literal lifeline,True
40,IuVo4fnpLC8,"00:05:57,850","00:05:59,530",people just don't use it as much but,True
41,IuVo4fnpLC8,"00:11:00,990","00:11:03,480",FedEx and UPS often hand off their,True
42,IuVo4fnpLC8,"00:15:19,230","00:15:21,480",services like payday lenders which can,True
43,IuVo4fnpLC8,"00:13:22,830","00:13:25,170",many many people the Trump may now,True
44,IuVo4fnpLC8,"00:03:49,889","00:03:51,750",can be a community hub that brings,True
45,IuVo4fnpLC8,"00:04:56,590","00:04:58,960",actually a self-funded entity it,True
46,IuVo4fnpLC8,"00:11:37,680","00:11:39,540",never-ending game of six degrees of how,True
47,IuVo4fnpLC8,"00:11:28,560","00:11:30,930",by Jeff Bezos who also owns the,True
48,IuVo4fnpLC8,"00:07:23,729","00:07:25,800",losses since it passed and that is,True
49,IuVo4fnpLC8,"00:17:55,530","00:17:58,710",new I know you bye-bye,False
50,IuVo4fnpLC8,"00:14:31,560","00:14:33,779",why is any of this happening is at least,True
51,IuVo4fnpLC8,"00:09:40,320","00:09:42,870",prescriptions from the VA and while you,True
52,IuVo4fnpLC8,"00:15:47,699","00:15:49,800",transfer of money it takes you in more,False
53,IuVo4fnpLC8,"00:17:27,030","00:17:29,220",they are the perfect way to mail a card,True
54,IuVo4fnpLC8,"00:05:53,290","00:05:55,360",know why the Postal Service is in so,True
55,IuVo4fnpLC8,"00:02:48,569","00:02:51,269",joke most office humor is just on the,True
56,IuVo4fnpLC8,"00:04:07,739","00:04:10,079",provided me the opportunity to to know,False
57,IuVo4fnpLC8,"00:03:55,739","00:03:59,150",heartwarming story with a bit of a twist,True
58,IuVo4fnpLC8,"00:00:10,670","00:00:12,620",if you hadn't forgotten to mail one like,True
59,IuVo4fnpLC8,"00:13:36,690","00:13:38,519",that would enable the Postal Service to,True
60,IuVo4fnpLC8,"00:06:42,700","00:06:44,400",pretty clear death Center Twitter,True
61,IuVo4fnpLC8,"00:07:43,080","00:07:45,479",government can run the post office like,False
62,IuVo4fnpLC8,"00:17:51,840","00:17:52,650",much for watching,False
63,IuVo4fnpLC8,"00:15:57,630","00:15:59,160",and white or that people are wearing,True
64,IuVo4fnpLC8,"00:11:53,490","00:11:56,100",Amazon and other internet companies and,False
65,IuVo4fnpLC8,"00:05:42,640","00:05:44,830",and I think I speak for cool kids,True
66,IuVo4fnpLC8,"00:02:15,499","00:02:18,150",goose which is and this is true better,True
67,IuVo4fnpLC8,"00:06:34,870","00:06:37,720",had massive new obligations to meet even,True
68,IuVo4fnpLC8,"00:10:46,170","00:10:48,240",not for me to be honest since I already,True
69,IuVo4fnpLC8,"00:15:02,640","00:15:04,829",bank as provide some very basic,True
70,IuVo4fnpLC8,"00:15:04,829","00:15:07,230",financial services like savings accounts,True
71,IuVo4fnpLC8,"00:10:31,980","00:10:34,560",says real women heart little wieners or,True
72,IuVo4fnpLC8,"00:00:12,620","00:00:15,860",an ungrateful sack of the USPS,True
73,IuVo4fnpLC8,"00:02:39,180","00:02:40,290",work yes,False
74,IuVo4fnpLC8,"00:07:18,810","00:07:20,880",this one law have accounted for,True
75,IuVo4fnpLC8,"00:10:02,100","00:10:04,170",businesses would immediately be affected,True
76,IuVo4fnpLC8,"00:17:22,020","00:17:25,110",sheets of these for the next month and I,True
77,IuVo4fnpLC8,"00:03:29,220","00:03:30,620",interruptions which is upsetting,True
78,IuVo4fnpLC8,"00:05:33,400","00:05:35,920",kids love from those slamming dino,True
79,IuVo4fnpLC8,"00:06:55,169","00:06:58,889",of million dollars in to a loss,True
80,IuVo4fnpLC8,"00:04:05,040","00:04:07,739",keeps in touch including him it's,False
81,IuVo4fnpLC8,"00:15:49,800","00:15:51,420",than one-and-a-half million dollars,False
82,IuVo4fnpLC8,"00:00:55,609","00:00:58,100",good right exactly hard to improve upon,True
83,IuVo4fnpLC8,"00:12:50,130","00:12:52,140",delivery because in addition to,True
84,IuVo4fnpLC8,"00:09:21,630","00:09:23,940",unfortunate fact that john stossel looks,True
85,IuVo4fnpLC8,"00:17:13,620","00:17:16,199",postage featuring Qi John a Bolivian,True
86,IuVo4fnpLC8,"00:13:26,970","00:13:28,829",will presumably meaning that by next,True
87,IuVo4fnpLC8,"00:04:23,729","00:04:27,090",just a circle back the also you,True
88,IuVo4fnpLC8,"00:06:14,980","00:06:17,920",on a -year schedule starting with an,True
89,IuVo4fnpLC8,"00:06:09,130","00:06:11,050",Enhancement Act now one of the things,True
90,IuVo4fnpLC8,"00:13:28,829","00:13:30,899",year every stamp in America will feature,True
91,IuVo4fnpLC8,"00:07:40,620","00:07:43,080",bloated and incompetent another myth,True
92,IuVo4fnpLC8,"00:07:02,550","00:07:05,460",and good luck selling enough dope-ass,True
93,IuVo4fnpLC8,"00:07:47,520","00:07:50,880",lose billions every year billion last,False
94,IuVo4fnpLC8,"00:10:43,650","00:10:46,170",it would be a tragedy although,True
95,IuVo4fnpLC8,"00:16:22,260","00:16:25,139",mess what they badly need is an infusion,True
96,IuVo4fnpLC8,"00:12:07,350","00:12:09,200",people have been in there a long time,False
97,IuVo4fnpLC8,"00:08:42,089","00:08:44,070",meaning a lot of people would lose,True
98,IuVo4fnpLC8,"00:04:27,090","00:04:29,640",just said sometimes you help bury a dog,True
99,IuVo4fnpLC8,"00:04:12,030","00:04:14,639",ever thought I would know even a degree,False
100,IuVo4fnpLC8,"00:07:05,460","00:07:07,440",lace stamps to get yourself out of that,True
101,IuVo4fnpLC8,"00:11:11,790","00:11:14,460",to it and that weirdly enough brings us,True
102,IuVo4fnpLC8,"00:14:43,079","00:14:45,540",is so important that they're given much,True
103,IuVo4fnpLC8,"00:08:16,050","00:08:18,270",now what's docile is advocating for,True
104,IuVo4fnpLC8,"00:01:25,610","00:01:27,950",the Grand Canyon by MU over the years,True
105,IuVo4fnpLC8,"00:06:32,620","00:06:34,870",products like first-class mail so they,True
106,IuVo4fnpLC8,"00:11:24,300","00:11:26,280",believe that that's because of its,True
107,IuVo4fnpLC8,"00:11:14,460","00:11:16,110",to one of the biggest things standing in,True
108,IuVo4fnpLC8,"00:00:04,400","00:00:06,859",our main story tonight concerns the US,True
109,IuVo4fnpLC8,"00:01:36,290","00:01:39,650",big box with many holes in it the box is,False
110,IuVo4fnpLC8,"00:10:20,780","00:10:23,850",just to run in there and get postage and,False
111,IuVo4fnpLC8,"00:05:59,530","00:06:02,410",that's not actually the main reason in,True
112,IuVo4fnpLC8,"00:08:10,650","00:08:12,570",once you see it like the arrow you can't,True
113,IuVo4fnpLC8,"00:15:29,310","00:15:31,079",already provide some services like,True
114,IuVo4fnpLC8,"00:16:51,720","00:16:53,880",full-frontal recently did giveaways and,True
115,IuVo4fnpLC8,"00:12:26,160","00:12:29,490",in itself a joke greener under my wiener,True
116,IuVo4fnpLC8,"00:06:44,400","00:06:45,960",makes it so strange that it passed,True
117,IuVo4fnpLC8,"00:00:15,860","00:00:17,509",provides valuable services from,True
118,IuVo4fnpLC8,"00:05:56,080","00:05:57,850",that the internet and email mean that,True
119,IuVo4fnpLC8,"00:08:53,579","00:08:55,950",power to establish post offices it,False
120,IuVo4fnpLC8,"00:05:55,360","00:05:56,080",much trouble,False
121,IuVo4fnpLC8,"00:03:20,190","00:03:22,650",asked Congress for a total of billion,True
122,IuVo4fnpLC8,"00:16:48,420","00:16:49,440",done this in the past,True
123,IuVo4fnpLC8,"00:10:16,740","00:10:18,900",lose our post office in in-home shitty,False
124,IuVo4fnpLC8,"00:12:45,390","00:12:48,030",a and third it isn't cutting,True
125,IuVo4fnpLC8,"00:07:50,880","00:07:53,789",year FedEx UPS and others make billions,False
126,IuVo4fnpLC8,"00:16:38,790","00:16:41,519",that we can do here because the purchase,True
127,IuVo4fnpLC8,"00:10:15,090","00:10:16,740",mail out something I hate to see them,False
128,IuVo4fnpLC8,"00:14:06,899","00:14:08,639",will tell you there were a few issues,True
129,IuVo4fnpLC8,"00:09:05,280","00:09:08,010",get email now it's hard to decide what I,True
130,IuVo4fnpLC8,"00:11:03,480","00:11:05,130",packages to the Postal Service for the,True
131,IuVo4fnpLC8,"00:15:24,180","00:15:27,209",and this wouldn't be completely out of,True
132,IuVo4fnpLC8,"00:12:00,480","00:12:03,060",raise the price of a package by,False
133,IuVo4fnpLC8,"00:15:52,139","00:15:54,120",you know it's depressing that the,True
134,IuVo4fnpLC8,"00:17:58,710","00:18:02,580",you're very good interrupting things you,False
135,IuVo4fnpLC8,"00:12:05,160","00:12:07,350",don't raise them for some reason these,False
136,IuVo4fnpLC8,"00:04:42,820","00:04:44,980",worst possible time this American,True
137,IuVo4fnpLC8,"00:15:17,640","00:15:19,230",forced to turn to alternative financial,True
138,IuVo4fnpLC8,"00:06:02,410","00:06:04,150",fact experts believe it would still be,True
139,IuVo4fnpLC8,"00:13:55,620","00:13:58,260",themed rendition of dick in a box also a,True
140,IuVo4fnpLC8,"00:12:59,910","00:13:01,980",cost so in summation here Trump is,True
141,IuVo4fnpLC8,"00:01:15,050","00:01:17,000",Service has a rich and storied history,True
142,IuVo4fnpLC8,"00:09:34,860","00:09:37,950",delivered. billion prescriptions last,True
143,IuVo4fnpLC8,"00:07:57,570","00:07:59,669",there's a lot wrong with that but he is,True
144,IuVo4fnpLC8,"00:16:14,040","00:16:16,949",close together but look postal banking,True
145,IuVo4fnpLC8,"00:06:30,220","00:06:32,620",money by putting price caps on major,True
146,IuVo4fnpLC8,"00:06:45,960","00:06:48,570",largely unnoticed at the time and with,True
147,IuVo4fnpLC8,"00:09:16,830","00:09:19,350",an estimated million people lack,True
148,IuVo4fnpLC8,"00:10:12,810","00:10:15,090",smaller products just about every day we,False
149,IuVo4fnpLC8,"00:10:09,120","00:10:10,860",Rock is another company that uses the,False
150,IuVo4fnpLC8,"00:10:41,880","00:10:43,650",stopped delivering gutbusters like that,True
151,IuVo4fnpLC8,"00:15:45,449","00:15:47,699",country and the largest agency for the,False
152,IuVo4fnpLC8,"00:17:49,440","00:17:51,840",nice thing that's our show thank you so,True
153,IuVo4fnpLC8,"00:17:40,799","00:17:43,080",stamp and support the Postal Service if,True
154,IuVo4fnpLC8,"00:00:41,059","00:00:43,699",interrupt every tick-tock video in fact,True
155,IuVo4fnpLC8,"00:01:44,000","00:01:45,860",after they're hatched so they can travel,False
156,IuVo4fnpLC8,"00:02:01,340","00:02:04,340",question why the would I ever send,True
157,IuVo4fnpLC8,"00:10:23,850","00:10:27,750",and and mail out rocks yeah it would be,False
158,IuVo4fnpLC8,"00:04:53,350","00:04:55,060",that despite being part of the federal,True
159,IuVo4fnpLC8,"00:12:03,060","00:12:05,160",approximately four times because they,False
160,IuVo4fnpLC8,"00:14:30,060","00:14:31,560",realize that the answer to the question,True
161,IuVo4fnpLC8,"00:07:27,690","00:07:30,270",thousand jobs and the fact they were so,True
162,IuVo4fnpLC8,"00:04:14,639","00:04:16,530",where sometimes on my lunch hour I find,False
163,IuVo4fnpLC8,"00:04:16,530","00:04:18,150",myself helping a neighbor Barry's dog,False
164,IuVo4fnpLC8,"00:03:59,150","00:04:01,260",postmaster burger says neighbors who,False
165,IuVo4fnpLC8,"00:02:20,790","00:02:22,950",making things very difficult for postal,True
166,IuVo4fnpLC8,"00:15:07,230","00:15:09,420",and check cashing that wouldn't just,True
167,IuVo4fnpLC8,"00:14:16,380","00:14:20,389",am the priority my boobs are the price,False
168,IuVo4fnpLC8,"00:01:30,020","00:01:31,670",surprisingly wide variety of needs,True
169,IuVo4fnpLC8,"00:03:13,260","00:03:15,359",with another existential threat the,True
170,IuVo4fnpLC8,"00:13:25,170","00:13:26,970",able to bend the Postal Service to his,True
171,IuVo4fnpLC8,"00:04:31,169","00:04:31,870",more than once,False
172,IuVo4fnpLC8,"00:11:32,910","00:11:35,580",is hated by the president who as we know,True
173,IuVo4fnpLC8,"00:01:48,530","00:01:51,050",used to be able to send live baby chicks,True
174,IuVo4fnpLC8,"00:03:47,489","00:03:49,889",rural areas in particular a post office,True
175,IuVo4fnpLC8,"00:09:27,960","00:09:30,000",really work and again,True
176,IuVo4fnpLC8,"00:03:42,569","00:03:45,329",work and many people really rely on it,True
